
145 Binary Tree Postorder Traversal,Binary Tree,Easy,Accepted
144 Binary Tree Preorder Traversal,Binary Tree,Easy,Accepted
103 Binary Tree Zigzag Level Order Traversal,Binary Tree,Medium,Accepted
102 Binary Tree Level Order Traversal,Binary Tree,Medium,Accepted
94 Binary Tree Inorder Traversal,Binary Tree,Easy,Accepted
3847 Find the Score Difference in a Game,Greedy / Simulation,Medium,Accepted
128 Longest Consecutive Sequence,Hashing,Medium,Accepted
735 Asteroid Collision,Stack,Medium,Accepted
42 Trapping Rain Water,Two Pointers / Stack,Hard,Accepted
69 Sqrt(x),Binary Search,Easy,Accepted
81 Search in Rotated Sorted Array II,Binary Search,Medium,Accepted
1248 Count Number of Nice Subarrays,Sliding Window,Medium,Accepted
948 Bag of Tokens,Greedy,Medium,Accepted
82 Remove Duplicates from Sorted List II,Linked List,Medium,Accepted
27 Remove Element,Array,Easy,Accepted
84 Largest Rectangle in Histogram,Stack,Hard,Accepted
739 Daily Temperatures,Stack,Medium,Accepted
1475 Final Prices With a Special Discount in a Shop,Stack,Easy,Accepted
636 Exclusive Time of Functions,Stack,Medium,Accepted
502 IPO,Heap / Greedy,Hard,Accepted
83 Remove Duplicates from Sorted List,Linked List,Easy,Accepted
1590 Make Sum Divisible by P,Prefix Sum / Hashing,Medium,Accepted
992 Subarrays with K Different Integers,Sliding Window,Hard,Accepted
881 Boats to Save People,Greedy / Two Pointers,Medium,Accepted
22 Generate Parentheses,Backtracking,Medium,Accepted
509 Fibonacci Number,DP / Recursion,Easy,Accepted
239 Sliding Window Maximum,Deque,Hard,Accepted
1288 Remove Covered Intervals,Greedy,Medium,Accepted
901 Online Stock Span,Stack,Medium,Accepted
1658 Minimum Operations to Reduce X to Zero,Sliding Window / Prefix Sum,Medium,Accepted
1991 Find the Middle Index in Array,Prefix Sum,Easy,Accepted
49 Group Anagrams,Hashing,Medium,Accepted
452 Minimum Number of Arrows to Burst Balloons,Greedy,Medium,Accepted
435 Non-overlapping Intervals,Greedy,Medium,Accepted
852 Peak Index in a Mountain Array,Binary Search,Medium,Compile Error
153 Find Minimum in Rotated Sorted Array,Binary Search,Medium,Accepted
930 Binary Subarrays With Sum,Prefix Sum / Sliding Window,Medium,Accepted
713 Subarray Product Less Than K,Sliding Window,Medium,Accepted
150 Evaluate Reverse Polish Notation,Stack,Medium,Accepted
1441 Build an Array With Stack Operations,Stack,Medium,Accepted
167 Two Sum II - Input Array Is Sorted,Two Pointers,Medium,Accepted
692 Top K Frequent Words,Heap / Hashing,Medium,Accepted
414 Third Maximum Number,Array,Easy,Accepted
1046 Last Stone Weight,Heap,Easy,Accepted
4 Median of Two Sorted Arrays,Binary Search,Hard,Compile Error
875 Koko Eating Bananas,Binary Search,Medium,Accepted
973 K Closest Points to Origin,Heap,Medium,Accepted
347 Top K Frequent Elements,Heap / Hashing,Medium,Accepted
215 Kth Largest Element in an Array,Heap / Quickselect,Medium,Accepted

74 Search a 2D Matrix,Binary Search,Medium,Accepted
34 Find First and Last Position of Element in Sorted Array,Binary Search,Medium,Accepted
162 Find Peak Element,Binary Search,Medium,Accepted
238 Product of Array Except Self,Array / Prefix Product,Medium,Accepted
560 Subarray Sum Equals K,Prefix Sum / Hashing,Medium,Accepted
3 Longest Substring Without Repeating Characters,Sliding Window,Medium,Accepted
217 Contains Duplicate,Hashing,Easy,Accepted
525 Contiguous Array,Prefix Sum / Hashing,Medium,Accepted
523 Continuous Subarray Sum,Prefix Sum,Medium,Accepted
1004 Max Consecutive Ones III,Sliding Window,Medium,Accepted
844 Backspace String Compare,Two Pointers / Stack,Easy,Accepted
643 Maximum Average Subarray I,Sliding Window,Easy,Accepted
1512 Number of Good Pairs,Hashing,Easy,Accepted
1832 Check if the Sentence Is Pangram,String,Easy,Accepted
1431 Kids With the Greatest Number of Candies,Array,Easy,Accepted
2215 Find the Difference of Two Arrays,Array / Hashing,Easy,Accepted
442 Find All Duplicates in an Array,Array,Medium,Accepted
448 Find All Numbers Disappeared in an Array,Array,Easy,Accepted
1365 How Many Numbers Are Smaller Than the Current Number,Array,Easy,Accepted
645 Set Mismatch,Array / Hashing,Easy,Accepted
485 Max Consecutive Ones,Array,Easy,Accepted
1470 Shuffle the Array,Array,Easy,Accepted
1929 Concatenation of Array,Array,Easy,Accepted
345 Reverse Vowels of a String,Two Pointers,Easy,Accepted
392 Is Subsequence,Two Pointers,Easy,Accepted
125 Valid Palindrome,Two Pointers,Easy,Accepted
2 Add Two Numbers,Linked List,Medium,Accepted
33 Search in Rotated Sorted Array,Binary Search,Medium,Accepted
35 Search Insert Position,Binary Search,Easy,Accepted
704 Binary Search,Binary Search,Easy,Accepted
24 Swap Nodes in Pairs,Linked List,Medium,Accepted
25 Reverse Nodes in k-Group,Linked List,Hard,Accepted
61 Rotate List,Linked List,Medium,Accepted
203 Remove Linked List Elements,Linked List,Easy,Accepted
92 Reverse Linked List II,Linked List,Medium,Accepted
206 Reverse Linked List,Linked List,Easy,Accepted
503 Next Greater Element II,Stack,Medium,Accepted
209 Minimum Size Subarray Sum,Sliding Window,Medium,Accepted
409 Longest Palindrome,Hashing,Easy,Accepted
1189 Maximum Number of Balloons,Hashing,Easy,Accepted
383 Ransom Note,Hashing,Easy,Accepted
387 First Unique Character in a String,Hashing,Easy,Accepted
344 Reverse String,Two Pointers,Easy,Accepted
20 Valid Parentheses,Stack,Easy,Accepted
1047 Remove All Adjacent Duplicates In String,Stack,Easy,Accepted
986 Interval List Intersections,Two Pointers / Intervals,Medium,Accepted
57 Insert Interval,Intervals,Medium,Accepted
56 Merge Intervals,Intervals,Medium,Accepted
974 Subarray Sums Divisible by K,Prefix Sum / Hashing,Medium,Accepted
724 Find Pivot Index,Prefix Sum,Easy,Accepted

918 Maximum Sum Circular Subarray,Kadane / Array,Medium,Accepted
1186 Maximum Subarray Sum with One Deletion,DP / Kadane,Medium,Accepted
152 Maximum Product Subarray,DP,Medium,Accepted
53 Maximum Subarray,Kadane,Medium,Accepted
19 Remove Nth Node From End of List,Linked List / Two Pointers,Medium,Accepted
2095 Delete the Middle Node of a Linked List,Linked List / Two Pointers,Medium,Accepted
876 Middle of the Linked List,Linked List / Two Pointers,Easy,Accepted
287 Find the Duplicate Number,Two Pointers / Floyd Cycle,Medium,Accepted
141 Linked List Cycle,Two Pointers,Easy,Accepted
142 Linked List Cycle II,Two Pointers,Medium,Accepted
904 Fruit Into Baskets,Sliding Window,Medium,Accepted
18 4Sum,Two Pointers / Sorting,Medium,Accepted
16 3Sum Closest,Two Pointers,Medium,Accepted
977 Squares of a Sorted Array,Two Pointers,Easy,Accepted
80 Remove Duplicates from Sorted Array II,Two Pointers,Medium,Accepted
11 Container With Most Water,Two Pointers,Medium,Accepted
350 Intersection of Two Arrays II,Hashing / Two Pointers,Easy,Accepted
349 Intersection of Two Arrays,Hashing,Easy,Accepted
493 Reverse Pairs,Merge Sort / Divide & Conquer,Hard,Accepted
88 Merge Sorted Array,Two Pointers,Easy,Accepted
15 3Sum,Two Pointers / Sorting,Medium,Accepted
229 Majority Element II,Array / Voting Algorithm,Medium,Accepted
54 Spiral Matrix,Matrix,Medium,Accepted
48 Rotate Image,Matrix,Medium,Accepted
73 Set Matrix Zeroes,Matrix,Medium,Accepted
31 Next Permutation,Array,Medium,Accepted
2149 Rearrange Array Elements by Sign,Array,Medium,Accepted
121 Best Time to Buy and Sell Stock,Greedy,Easy,Accepted
169 Majority Element,Array / Voting Algorithm,Easy,Accepted
75 Sort Colors,Two Pointers / Dutch Flag,Medium,Accepted
1 Two Sum,Hashing,Easy,Accepted
136 Single Number,Bit Manipulation,Easy,Accepted
268 Missing Number,Bit Manipulation,Easy,Accepted
283 Move Zeroes,Two Pointers,Easy,Accepted
189 Rotate Array,Array,Medium,Accepted
26 Remove Duplicates from Sorted Array,Two Pointers,Easy,Accepted
1752 Check if Array Is Sorted and Rotated,Array,Easy,Accepted
1920 Build Array from Permutation,Array,Easy,Accepted
1281 Subtract the Product and Sum of Digits of an Integer,Math,Easy,Accepted
543. Diameter of Binary Tree,Binary Tree,Easy,Accepted
